chrom	group	window_start	window_end	window_mid	n_snps	pi	tajima_d
LinJ.01	AM10_0	103	50102	25102.5	156	0.19336917562724015	-0.5304508562643103
LinJ.01	AM11_0	103	50102	25102.5	156	0.18255344845307842	-0.3959638220010533
LinJ.01	AM12_0	103	50102	25102.5	156	0.425	-0.8142789301316445
LinJ.01	AM1_0	103	50102	25102.5	156	0.12401185770750987	-1.6595403084222269
LinJ.01	AM2_0	103	50102	25102.5	156	0.0727931488801054	-2.2380392759227834
LinJ.01	AM2_4	103	50102	25102.5	156	0.15942028985507245	NA
LinJ.01	AM3_0	103	50102	25102.5	156	0.15666666666666668	-1.5823210479901104
LinJ.01	AM4_4	103	50102	25102.5	156	0.2699175824175824	-0.46653536309839927
LinJ.01	AM5_0	103	50102	25102.5	156	0.13712121212121212	-2.3688589448445314
LinJ.01	AM6_0	103	50102	25102.5	156	0.14864864864864863	-0.9231802343439915
LinJ.01	AM7_0	103	50102	25102.5	156	0.2541666666666667	-0.08737691136472087
LinJ.01	AM8_4	103	50102	25102.5	156	0.08458000886524822	-1.717861944571504
LinJ.01	AM9_0	103	50102	25102.5	156	0.20570175438596486	-0.7217303210846079
LinJ.01	AM10_0	5103	55102	30102.5	139	0.16115591397849463	-0.9065754420547598
LinJ.01	AM11_0	5103	55102	30102.5	139	0.18255344845307842	-0.3959638220010533
LinJ.01	AM12_0	5103	55102	30102.5	139	0.428125	-0.7614721369529284
LinJ.01	AM1_0	5103	55102	30102.5	139	0.1126482213438735	-1.8469844775913824
LinJ.01	AM2_0	5103	55102	30102.5	139	0.0727931488801054	-2.2380392759227834
LinJ.01	AM2_4	5103	55102	30102.5	139	0.15942028985507245	NA
LinJ.01	AM3_0	5103	55102	30102.5	139	0.15666666666666668	-1.5823210479901104
LinJ.01	AM4_4	5103	55102	30102.5	139	0.2699175824175824	-0.46653536309839927
LinJ.01	AM5_0	5103	55102	30102.5	139	0.13636363636363635	-2.1991520200022228
LinJ.01	AM6_0	5103	55102	30102.5	139	0.14864864864864863	-0.9231802343439915
LinJ.01	AM7_0	5103	55102	30102.5	139	0.2541666666666667	-0.08737691136472087
LinJ.01	AM8_4	5103	55102	30102.5	139	0.08458000886524822	-1.717861944571504
LinJ.01	AM9_0	5103	55102	30102.5	139	0.20570175438596486	-0.7217303210846079
LinJ.01	AM10_0	10103	60102	35102.5	155	0.16505376344086023	-0.9215037593210985
LinJ.01	AM11_0	10103	60102	35102.5	155	0.18255344845307842	-0.3959638220010533
LinJ.01	AM12_0	10103	60102	35102.5	155	0.428125	-0.7614721369529284
LinJ.01	AM1_0	10103	60102	35102.5	155	0.1126482213438735	-1.8469844775913824
LinJ.01	AM2_0	10103	60102	35102.5	155	0.0727931488801054	-2.2380392759227834
LinJ.01	AM2_4	10103	60102	35102.5	155	0.15942028985507245	NA
LinJ.01	AM3_0	10103	60102	35102.5	155	0.15666666666666668	-1.5823210479901104
LinJ.01	AM4_4	10103	60102	35102.5	155	0.26868131868131867	-0.5039549456970351
LinJ.01	AM5_0	10103	60102	35102.5	155	0.13636363636363635	-2.1991520200022228
LinJ.01	AM6_0	10103	60102	35102.5	155	0.14864864864864863	-0.9231802343439915
LinJ.01	AM7_0	10103	60102	35102.5	155	0.2541666666666667	-0.08737691136472087
LinJ.01	AM8_4	10103	60102	35102.5	155	0.07752167060677699	-1.8501252489397657
LinJ.01	AM9_0	10103	60102	35102.5	155	0.20570175438596486	-0.7217303210846079
LinJ.01	AM10_0	15103	65102	40102.5	143	0.07768817204301076	-1.7552933228430443
LinJ.01	AM11_0	15103	65102	40102.5	143	0.02128141381436941	-1.6318192590310758
LinJ.01	AM12_0	15103	65102	40102.5	143	0.4	-1.1617200591945374
LinJ.01	AM1_0	15103	65102	40102.5	143	0.04446640316205533	-2.452177853506424
LinJ.01	AM2_0	15103	65102	40102.5	143	0.0699604743083004	-2.1761405118367927
LinJ.01	AM2_4	15103	65102	40102.5	143	NA	NA
LinJ.01	AM3_0	15103	65102	40102.5	143	0.06458333333333333	-2.277717646092856
LinJ.01	AM4_4	15103	65102	40102.5	143	0.24725274725274726	-0.6542054651709953
LinJ.01	AM5_0	15103	65102	40102.5	143	0.09545454545454546	-2.203208971468745
LinJ.01	AM6_0	15103	65102	40102.5	143	0.027402402402402402	-1.969144795318062
LinJ.01	AM7_0	15103	65102	40102.5	143	0.04083333333333334	NA
LinJ.01	AM8_4	15103	65102	40102.5	143	0.025177304964539002	-2.171268115975356
LinJ.01	AM9_0	15103	65102	40102.5	143	0.051315789473684204	-2.1846181556619366
LinJ.01	AM10_0	20103	70102	45102.5	145	0.07768817204301076	-1.7552933228430443
LinJ.01	AM11_0	20103	70102	45102.5	145	0.02128141381436941	-1.6318192590310758
LinJ.01	AM12_0	20103	70102	45102.5	145	0.3625	-1.6825061520187758
LinJ.01	AM1_0	20103	70102	45102.5	145	0.04446640316205533	-2.452177853506424
LinJ.01	AM2_0	20103	70102	45102.5	145	0.0699604743083004	-2.1761405118367927
LinJ.01	AM2_4	20103	70102	45102.5	145	NA	NA
LinJ.01	AM3_0	20103	70102	45102.5	145	0.06458333333333333	-2.0111024288902946
LinJ.01	AM4_4	20103	70102	45102.5	145	0.20398351648351648	-1.1572471539745903
LinJ.01	AM5_0	20103	70102	45102.5	145	0.09545454545454546	-2.203208971468745
LinJ.01	AM6_0	20103	70102	45102.5	145	0.027402402402402402	-1.969144795318062
LinJ.01	AM7_0	20103	70102	45102.5	145	0.04083333333333334	-1.83489738189415
LinJ.01	AM8_4	20103	70102	45102.5	145	0.025177304964539002	-2.171268115975356
LinJ.01	AM9_0	20103	70102	45102.5	145	0.051315789473684204	-2.1846181556619366
LinJ.01	AM10_0	25103	75102	50102.5	141	0.09265232974910395	-1.4686506238197998
LinJ.01	AM11_0	25103	75102	50102.5	141	0.021054964539007088	-1.8909349682615697
LinJ.01	AM12_0	25103	75102	50102.5	141	0.3416666666666667	-1.980822845639125
LinJ.01	AM1_0	25103	75102	50102.5	141	0.04446640316205533	-2.3155200586347684
LinJ.01	AM2_0	25103	75102	50102.5	141	0.06571146245059288	-2.098308379958238
LinJ.01	AM2_4	25103	75102	50102.5	141	NA	NA
LinJ.01	AM3_0	25103	75102	50102.5	141	0.06458333333333333	-2.0111024288902946
LinJ.01	AM4_4	25103	75102	50102.5	141	0.20398351648351648	-1.1572471539745903
LinJ.01	AM5_0	25103	75102	50102.5	141	0.09545454545454546	-2.203208971468745
LinJ.01	AM6_0	25103	75102	50102.5	141	0.027402402402402402	NA
LinJ.01	AM7_0	25103	75102	50102.5	141	0.04083333333333334	-1.83489738189415
LinJ.01	AM8_4	25103	75102	50102.5	141	0.02449024822695035	-2.2881207196306375
LinJ.01	AM9_0	25103	75102	50102.5	141	0.051315789473684204	-2.1846181556619366
LinJ.01	AM10_0	30103	80102	55102.5	140	0.09265232974910395	-1.4686506238197998
