group	window_start	window_end	window_mid	n_snps	pi	tajima_d
AM10_0	31	50030	25030.5	538	2.1668162327851821e-4	2.237269796782183
AM11_0	31	50030	25030.5	538	2.210512622720272e-4	1.527078143756247
AM12_0	31	50030	25030.5	538	2.2857142857142857e-4	0.7404476520359495
AM1_0	31	50030	25030.5	538	1.8750497724815966e-4	3.4631723198401203
AM2_0	31	50030	25030.5	538	1.648732774347271e-4	2.0769285392182306
AM2_4	31	50030	25030.5	538	1.8135240479105023e-4	3.225653468891254
AM3_0	31	50030	25030.5	538	1.9933002709337486e-4	1.6071053985501789
AM4_4	31	50030	25030.5	538	2.549926817662179e-4	1.7877811685363758
AM5_0	31	50030	25030.5	538	2.192692225215445e-4	2.447612780050085
AM6_0	31	50030	25030.5	538	2.259504607002258e-4	2.9419588266671566
AM7_0	31	50030	25030.5	538	1.9852620711454375e-4	0.7048549312407475
AM8_4	31	50030	25030.5	538	1.94333883628693e-4	0.7008115574527213
AM9_0	31	50030	25030.5	538	2.0544605111271977e-4	2.8784462675719498
AM10_0	5031	55030	30030.5	501	5.529398207271131e-5	1.2743233033691357
AM11_0	5031	55030	30030.5	501	5.272940278663593e-5	0.2511539601302053
AM12_0	5031	55030	30030.5	501	8.533333333333334e-5	-0.32543902043877937
AM1_0	5031	55030	30030.5	501	3.586614106839876e-5	NA
AM2_0	5031	55030	30030.5	501	5.062801932367149e-6	-1.3255112485147953
AM2_4	5031	55030	30030.5	501	1.25e-6	NA
AM3_0	5031	55030	30030.5	501	5.797939646910688e-5	0.6900309887710167
AM4_4	5031	55030	30030.5	501	6.967745142490061e-5	1.3079649164542286
AM5_0	5031	55030	30030.5	501	3.104215083162451e-5	1.803765549458662
AM6_0	5031	55030	30030.5	501	4.897707031868759e-5	0.3312923935562223
AM7_0	5031	55030	30030.5	501	3.3092641802266525e-5	-1.3822952727802433
AM8_4	5031	55030	30030.5	501	4.307048161035831e-5	-1.4059987304931127
AM9_0	5031	55030	30030.5	501	7.124284156403435e-5	2.13038885266158
AM10_0	10031	60030	35030.5	508	1.0410514107014497e-4	2.0442117021069595
AM11_0	10031	60030	35030.5	508	9.72615222934024e-5	1.9947846566865866
AM12_0	10031	60030	35030.5	508	9.333333333333334e-5	-0.5521530743323173
AM1_0	10031	60030	35030.5	508	7.882274721415009e-5	1.2123225328840368
AM2_0	10031	60030	35030.5	508	5.062801932367149e-6	-1.3255112485147953
AM2_4	10031	60030	35030.5	508	2.5e-6	NA
AM3_0	10031	60030	35030.5	508	1.0440286478822736e-4	1.1867559678999813
AM4_4	10031	60030	35030.5	508	1.0974894966985422e-4	1.1935517292025069
AM5_0	10031	60030	35030.5	508	4.4005354294827976e-5	0.41285479463739744
AM6_0	10031	60030	35030.5	508	8.881217112093043e-5	1.1029444516736235
AM7_0	10031	60030	35030.5	508	6.845121463351387e-5	-1.1983132779217323
AM8_4	10031	60030	35030.5	508	8.368660768658263e-5	-0.5383472868469233
AM9_0	10031	60030	35030.5	508	1.1490611694598408e-4	2.0822271923515405
AM10_0	15031	65030	40030.5	480	6.635971652414958e-5	1.2917652806773485
AM11_0	15031	65030	40030.5	480	5.975762512095458e-5	1.8725769115800102
AM12_0	15031	65030	40030.5	480	8.400000000000001e-5	-0.6929917258913045
AM1_0	15031	65030	40030.5	480	5.692857254350482e-5	1.2123225328840368
AM2_0	15031	65030	40030.5	480	5.952712156958871e-6	-1.1881782002230585
AM2_4	15031	65030	40030.5	480	2.5e-6	NA
AM3_0	15031	65030	40030.5	480	6.972272510098598e-5	0.7787030843674815
AM4_4	15031	65030	40030.5	480	6.882749217997569e-5	0.8209672650394221
AM5_0	15031	65030	40030.5	480	4.560708589655958e-5	0.28982685093881505
AM6_0	15031	65030	40030.5	480	5.4968749298954636e-5	0.45737645537438887
AM7_0	15031	65030	40030.5	480	5.046937215896288e-5	-1.4275225560640972
AM8_4	15031	65030	40030.5	480	5.794602790594422e-5	-0.7620007399353986
AM9_0	15031	65030	40030.5	480	7.063384524362666e-5	1.6198069778838131
AM10_0	20031	70030	45030.5	480	6.700487781447216e-5	0.9250499220870739
