pop1	pop2	msl_type	window_start	window_end	window_mid	n_snps	dxy	fst
AM10_0	AM11_0	MSL0-MSL0	31	50030	25030.5	538	0.011114393816399106	0.07477923490904857
AM10_0	AM12_0	MSL0-MSL0	31	50030	25030.5	538	0.015366601099963234	0.12039259603737296
AM10_0	AM1_0	MSL0-MSL0	31	50030	25030.5	538	0.011108995632777436	0.16265263399888527
AM10_0	AM2_0	MSL0-MSL0	31	50030	25030.5	538	0.011414754800825641	0.20949847499706933
AM10_0	AM3_0	MSL0-MSL0	31	50030	25030.5	538	0.011116236641617134	0.12222793565780593
AM10_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.011454678532826596	0.3691910111421353
AM10_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.012093494642070955	0.05961773839121473
AM10_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.011170168594589969	0.01373640113556886
AM10_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.010963253330040907	0.19209472226872526
AM11_0	AM12_0	MSL0-MSL0	31	50030	25030.5	538	0.015153185257370255	0.05316230993110193
AM11_0	AM1_0	MSL0-MSL0	31	50030	25030.5	538	0.009780992742517782	0.008141291580792421
AM11_0	AM2_0	MSL0-MSL0	31	50030	25030.5	538	0.010266192986662124	0.08149442488731799
AM11_0	AM3_0	MSL0-MSL0	31	50030	25030.5	538	0.010356419180658065	0
AM11_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.010352900659584887	0.16292051371875715
AM11_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.011406297690817318	0
AM11_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.011689257235493892	0.0032365534246598707
AM11_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.01046172253570121	0.017920471562794624
AM12_0	AM1_0	MSL0-MSL0	31	50030	25030.5	538	0.01493425435678862	0.049620026412463936
AM12_0	AM2_0	MSL0-MSL0	31	50030	25030.5	538	0.011252404981081997	0.021316444750697612
AM12_0	AM3_0	MSL0-MSL0	31	50030	25030.5	538	0.014721671394603725	0.048214468886665446
AM12_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.011716441875401414	0.08260257439317434
AM12_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.016354176380208117	0.057723414656689946
AM12_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.018535960100246204	0.03595466549065194
AM12_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.01578826805841954	0.07523720307285944
AM1_0	AM2_0	MSL0-MSL0	31	50030	25030.5	538	0.009322177264128362	0.06856818516280681
AM1_0	AM3_0	MSL0-MSL0	31	50030	25030.5	538	0.009217876273063745	0
AM1_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.008353024848930793	0.1608683810880255
AM1_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.01047043641411616	0
AM1_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.01047169044962428	0.005149075657706757
AM1_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.00973569496984378	0.03392128002377801
AM2_0	AM3_0	MSL0-MSL0	31	50030	25030.5	538	0.009817256416038997	0.06671542563461194
AM2_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.007493180012472475	0.13600457161789067
AM2_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.011025270979174438	0.07902873461779478
AM2_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.010185704879021738	0.029900454765570617
AM2_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.011646620642349708	0.11764006529013044
AM3_0	AM5_0	MSL0-MSL0	31	50030	25030.5	538	0.010010633233176585	0.1515157647872335
AM3_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.011245170588710454	0
AM3_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.011677759249397849	0
AM3_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.00973013143900488	0.0054325763482927555
AM5_0	AM6_0	MSL0-MSL0	31	50030	25030.5	538	0.01039712714672264	0.18076828612709447
AM5_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.009733905768156534	0.13550671691966232
AM5_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.012026582158586131	0.22344282385741468
AM6_0	AM7_0	MSL0-MSL0	31	50030	25030.5	538	0.012274419673022634	0.006998190373233344
AM6_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.011220880210206948	0.020221384310377833
AM7_0	AM9_0	MSL0-MSL0	31	50030	25030.5	538	0.011821817868186636	0.04294730485638319
AM2_4	AM4_4	MSL4-MSL4	31	50030	25030.5	538	0.010000357961299364	0.057199875255802744
AM2_4	AM8_4	MSL4-MSL4	31	50030	25030.5	538	0.009345970329603224	0.047161296215938536
AM4_4	AM8_4	MSL4-MSL4	31	50030	25030.5	538	0.010759737945594951	0
AM10_0	AM11_0	MSL0-MSL0	5031	55030	30030.5	501	0.0034691388930358294	0
AM10_0	AM12_0	MSL0-MSL0	5031	55030	30030.5	501	0.00854271357015868	0.18934161936914157
AM10_0	AM1_0	MSL0-MSL0	5031	55030	30030.5	501	0.003273053489860468	0.021020104840593794
AM10_0	AM2_0	MSL0-MSL0	5031	55030	30030.5	501	0.003941357276534748	0.23584304649395088
AM10_0	AM3_0	MSL0-MSL0	5031	55030	30030.5	501	0.004052248960349426	0
AM10_0	AM5_0	MSL0-MSL0	5031	55030	30030.5	501	0.005752739073597357	0.25276821414131184
AM10_0	AM6_0	MSL0-MSL0	5031	55030	30030.5	501	0.0035769140954244887	0.0016464734586624124
AM10_0	AM7_0	MSL0-MSL0	5031	55030	30030.5	501	0.0036397380502278796	0.043319827747357445
AM10_0	AM9_0	MSL0-MSL0	5031	55030	30030.5	501	0.004349425245215364	0.03379522064075989
